,NAME_2018,REDFIN_DATA,APARTMENT_LIST_DATA,cbsatitle,cbsa_state
32660,"McMinnville, TN Micro Area",,,"McMinnville, TN",4732660
32700,"McPherson, KS Micro Area",,,"McPherson, KS",2032700
32740,"Meadville, PA Micro Area",,,"Meadville, PA",4232740
32780,"Medford, OR Metro Area",,"Medford, OR","Medford, OR",4132780
32820,"Memphis, TN-MS-AR Metro Area","Memphis, TN metro area","Memphis, TN-MS-AR","Memphis, TN-MS-AR",0532820
32860,"Menomonie, WI Micro Area",,,"Menomonie, WI",5532860
32900,"Merced, CA Metro Area","Merced, CA metro area","Merced, CA","Merced, CA",0632900
32940,"Meridian, MS Micro Area",,,"Meridian, MS",2832940
32980,"Merrill, WI Micro Area",,,"Merrill, WI",5532980
33020,"Mexico, MO Micro Area",,,"Mexico, MO",2933020
33060,"Miami, OK Micro Area",,,"Miami, OK",4033060
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","Miami, FL metro area","Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",1233100
33140,"Michigan City-La Porte, IN Metro Area",,,"Michigan City-La Porte, IN",1833140
33180,"Middlesborough, KY Micro Area",,,"Middlesborough, KY",2133180
33220,"Midland, MI Metro Area",,,"Midland, MI",2633220
33260,"Midland, TX Metro Area",,,"Midland, TX",4833260
33300,"Milledgeville, GA Micro Area",,,"Milledgeville, GA",1333300
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area","Milwaukee, WI metro area","Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",5533340
33420,"Mineral Wells, TX Micro Area",,,"Mineral Wells, TX",4833420
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","Minneapolis, MN metro area","Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",2733460
33500,"Minot, ND Micro Area",,,"Minot, ND",3833500
33540,"Missoula, MT Metro Area",,,"Missoula, MT",3033540
33580,"Mitchell, SD Micro Area",,,"Mitchell, SD",4633580
33620,"Moberly, MO Micro Area",,,"Moberly, MO",2933620
33660,"Mobile, AL Metro Area",,"Mobile, AL","Mobile, AL",0133660
33700,"Modesto, CA Metro Area","Modesto, CA metro area","Modesto, CA","Modesto, CA",0633700
33740,"Monroe, LA Metro Area",,"Monroe, LA","Monroe, LA",2233740
33780,"Monroe, MI Metro Area","Monroe, MI metro area",,"Monroe, MI",2633780
33860,"Montgomery, AL Metro Area",,"Montgomery, AL","Montgomery, AL",0133860
33940,"Montrose, CO Micro Area",,,"Montrose, CO",0833940
33980,"Morehead City, NC Micro Area",,,"Morehead City, NC",3733980
34020,"Morgan City, LA Micro Area",,,"Morgan City, LA",2234020
34060,"Morgantown, WV Metro Area",,,"Morgantown, WV",5434060
34100,"Morristown, TN Metro Area",,,"Morristown, TN",4734100
34140,"Moscow, ID Micro Area",,,"Moscow, ID",1634140
34180,"Moses Lake, WA Micro Area",,,"Moses Lake, WA",5334180
34220,"Moultrie, GA Micro Area",,,"Moultrie, GA",1334220
34260,"Mountain Home, AR Micro Area",,,"Mountain Home, AR",0534260
34300,"Mountain Home, ID Micro Area",,,"Mountain Home, ID",1634300
34340,"Mount Airy, NC Micro Area",,,"Mount Airy, NC",3734340
34380,"Mount Pleasant, MI Micro Area",,,"Mount Pleasant, MI",2634380
34420,"Mount Pleasant, TX Micro Area",,,"Mount Pleasant, TX",4834420
34460,"Mount Sterling, KY Micro Area",,,"Mount Sterling, KY",2134460
34500,"Mount Vernon, IL Micro Area",,,"Mount Vernon, IL",1734500
34540,"Mount Vernon, OH Micro Area",,,"Mount Vernon, OH",3934540
34580,"Mount Vernon-Anacortes, WA Metro Area","Mount Vernon, WA metro area",,"Mount Vernon-Anacortes, WA",5334580
34620,"Muncie, IN Metro Area",,,"Muncie, IN",1834620
34660,"Murray, KY Micro Area",,,"Murray, KY",2134660
34700,"Muscatine, IA Micro Area",,,"Muscatine, IA",1934700
34740,"Muskegon, MI Metro Area","Muskegon, MI metro area","Muskegon, MI","Muskegon, MI",2634740
34780,"Muskogee, OK Micro Area",,,"Muskogee, OK",4034780
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","Myrtle Beach, SC metro area","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3734820
34860,"Nacogdoches, TX Micro Area",,,"Nacogdoches, TX",4834860
34900,"Napa, CA Metro Area","Napa, CA metro area",,"Napa, CA",0634900
34940,"Naples-Immokalee-Marco Island, FL Metro Area","Naples, FL metro area","Naples-Immokalee-Marco Island, FL","Naples-Immokalee-Marco Island, FL",1234940
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Nashville, TN metro area","Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",4734980
35020,"Natchez, MS-LA Micro Area",,,"Natchez, MS-LA",2235020
35060,"Natchitoches, LA Micro Area",,,"Natchitoches, LA",2235060
35100,"New Bern, NC Metro Area",,,"New Bern, NC",3735100
35140,"Newberry, SC Micro Area",,,"Newberry, SC",4535140
35220,"New Castle, IN Micro Area",,,"New Castle, IN",1835220
35260,"New Castle, PA Micro Area",,,"New Castle, PA",4235260
35300,"New Haven-Milford, CT Metro Area","New Haven, CT metro area","New Haven-Milford, CT","New Haven-Milford, CT",0935300
35380,"New Orleans-Metairie, LA Metro Area","New Orleans, LA metro area","New Orleans-Metairie, LA","New Orleans-Metairie, LA",2235380
35420,"New Philadelphia-Dover, OH Micro Area",,,"New Philadelphia-Dover, OH",3935420
35440,"Newport, OR Micro Area",,,"Newport, OR",4135440
35460,"Newport, TN Micro Area",,,"Newport, TN",4735460
35500,"Newton, IA Micro Area",,,"Newton, IA",1935500
35580,"New Ulm, MN Micro Area",,,"New Ulm, MN",2735580
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York, NY metro area","New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA",3435620
35660,"Niles-Benton Harbor, MI Metro Area","Niles, MI metro area",,"Niles-Benton Harbor, MI",2635660
35700,"Nogales, AZ Micro Area",,,"Nogales, AZ",0435700
35740,"Norfolk, NE Micro Area",,,"Norfolk, NE",3135740
35820,"North Platte, NE Micro Area",,,"North Platte, NE",3135820
35840,"North Port-Sarasota-Bradenton, FL Metro Area","North Port, FL metro area","North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL",1235840
35860,"North Vernon, IN Micro Area",,,"North Vernon, IN",1835860
35900,"North Wilkesboro, NC Micro Area",,,"North Wilkesboro, NC",3735900
35940,"Norwalk, OH Micro Area",,,"Norwalk, OH",3935940
35980,"Norwich-New London, CT Metro Area","Norwich, CT metro area","Norwich-New London, CT","Norwich-New London, CT",0935980
36020,"Oak Harbor, WA Micro Area",,,"Oak Harbor, WA",5336020
36100,"Ocala, FL Metro Area",,"Ocala, FL","Ocala, FL",1236100
36140,"Ocean City, NJ Metro Area","Ocean City, NJ metro area",,"Ocean City, NJ",3436140
36220,"Odessa, TX Metro Area",,,"Odessa, TX",4836220
36260,"Ogden-Clearfield, UT Metro Area","Ogden, UT metro area","Ogden-Clearfield, UT","Ogden-Clearfield, UT",4936260
36300,"Ogdensburg-Massena, NY Micro Area",,,"Ogdensburg-Massena, NY",3636300
36340,"Oil City, PA Micro Area",,,"Oil City, PA",4236340
36380,"Okeechobee, FL Micro Area",,,"Okeechobee, FL",1236380
36420,"Oklahoma City, OK Metro Area","Oklahoma City, OK metro area","Oklahoma City, OK","Oklahoma City, OK",4036420
36460,"Olean, NY Micro Area",,,"Olean, NY",3636460
36500,"Olympia-Tumwater, WA Metro Area","Olympia, WA metro area","Olympia-Tumwater, WA","Olympia-Tumwater, WA",5336500
36540,"Omaha-Council Bluffs, NE-IA Metro Area","Omaha, NE metro area","Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",1936540
36580,"Oneonta, NY Micro Area",,,"Oneonta, NY",3636580
