,NAME_2018,REDFIN_DATA,APARTMENT_LIST_DATA,cbsatitle,cbsa_state
42620,"Searcy, AR Micro Area",,,"Searcy, AR",0542620
42660,"Seattle-Tacoma-Bellevue, WA Metro Area","Seattle, WA metro area","Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",5342660
42680,"Sebastian-Vero Beach, FL Metro Area","Sebastian, FL metro area",,"Sebastian-Vero Beach, FL",1242680
42700,"Sebring, FL Metro Area",,,"Sebring, FL",1242700
42740,"Sedalia, MO Micro Area",,,"Sedalia, MO",2942740
42780,"Selinsgrove, PA Micro Area",,,"Selinsgrove, PA",4242780
42820,"Selma, AL Micro Area",,,"Selma, AL",0142820
42860,"Seneca, SC Micro Area",,,"Seneca, SC",4542860
42900,"Seneca Falls, NY Micro Area",,,"Seneca Falls, NY",3642900
42940,"Sevierville, TN Micro Area",,,"Sevierville, TN",4742940
42980,"Seymour, IN Micro Area",,,"Seymour, IN",1842980
43020,"Shawano, WI Micro Area",,,"Shawano, WI",5543020
43060,"Shawnee, OK Micro Area",,,"Shawnee, OK",4043060
43100,"Sheboygan, WI Metro Area","Sheboygan, WI metro area",,"Sheboygan, WI",5543100
43140,"Shelby, NC Micro Area",,,"Shelby, NC",3743140
43180,"Shelbyville, TN Micro Area",,,"Shelbyville, TN",4743180
43220,"Shelton, WA Micro Area",,,"Shelton, WA",5343220
43260,"Sheridan, WY Micro Area",,,"Sheridan, WY",5643260
43300,"Sherman-Denison, TX Metro Area","Sherman, TX metro area",,"Sherman-Denison, TX",4843300
43320,"Show Low, AZ Micro Area",,,"Show Low, AZ",0443320
43340,"Shreveport-Bossier City, LA Metro Area",,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA",2243340
43380,"Sidney, OH Micro Area",,,"Sidney, OH",3943380
43420,"Sierra Vista-Douglas, AZ Metro Area",,,"Sierra Vista-Douglas, AZ",0443420
43460,"Sikeston, MO Micro Area",,,"Sikeston, MO",2943460
43500,"Silver City, NM Micro Area",,,"Silver City, NM",3543500
43580,"Sioux City, IA-NE-SD Metro Area",,"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD",1943580
43620,"Sioux Falls, SD Metro Area",,"Sioux Falls, SD","Sioux Falls, SD",4643620
43660,"Snyder, TX Micro Area",,,"Snyder, TX",4843660
43700,"Somerset, KY Micro Area",,,"Somerset, KY",2143700
43740,"Somerset, PA Micro Area",,,"Somerset, PA",4243740
43760,"Sonora, CA Micro Area",,,"Sonora, CA",0643760
43780,"South Bend-Mishawaka, IN-MI Metro Area","South Bend, IN metro area","South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI",1843780
43900,"Spartanburg, SC Metro Area","Spartanburg, SC metro area","Spartanburg, SC","Spartanburg, SC",4543900
43940,"Spearfish, SD Micro Area",,,"Spearfish, SD",4643940
43980,"Spencer, IA Micro Area",,,"Spencer, IA",1943980
44020,"Spirit Lake, IA Micro Area",,,"Spirit Lake, IA",1944020
44060,"Spokane-Spokane Valley, WA Metro Area","Spokane, WA metro area","Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA",5344060
44100,"Springfield, IL Metro Area",,"Springfield, IL","Springfield, IL",1744100
44140,"Springfield, MA Metro Area",,"Springfield, MA","Springfield, MA",2544140
44180,"Springfield, MO Metro Area",,"Springfield, MO","Springfield, MO",2944180
44220,"Springfield, OH Metro Area",,,"Springfield, OH",3944220
44260,"Starkville, MS Micro Area",,,"Starkville, MS",2844260
44300,"State College, PA Metro Area",,,"State College, PA",4244300
44340,"Statesboro, GA Micro Area",,,"Statesboro, GA",1344340
44420,"Staunton-Waynesboro, VA Metro Area",,,"Staunton-Waynesboro, VA",5144420
44460,"Steamboat Springs, CO Micro Area",,,"Steamboat Springs, CO",0844460
44500,"Stephenville, TX Micro Area",,,"Stephenville, TX",4844500
44540,"Sterling, CO Micro Area",,,"Sterling, CO",0844540
44580,"Sterling, IL Micro Area",,,"Sterling, IL",1744580
44620,"Stevens Point, WI Micro Area",,,"Stevens Point, WI",5544620
44660,"Stillwater, OK Micro Area",,,"Stillwater, OK",4044660
44700,"Stockton-Lodi, CA Metro Area","Stockton, CA metro area","Stockton-Lodi, CA","Stockton-Lodi, CA",0644700
44740,"Storm Lake, IA Micro Area",,,"Storm Lake, IA",1944740
44780,"Sturgis, MI Micro Area",,,"Sturgis, MI",2644780
44860,"Sulphur Springs, TX Micro Area",,,"Sulphur Springs, TX",4844860
44900,"Summerville, GA Micro Area",,,"Summerville, GA",1344900
44920,"Summit Park, UT Micro Area",,,"Summit Park, UT",4944920
44940,"Sumter, SC Metro Area",,,"Sumter, SC",4544940
44980,"Sunbury, PA Micro Area",,,"Sunbury, PA",4244980
45000,"Susanville, CA Micro Area",,,"Susanville, CA",0645000
45020,"Sweetwater, TX Micro Area",,,"Sweetwater, TX",4845020
45060,"Syracuse, NY Metro Area","Syracuse, NY metro area","Syracuse, NY","Syracuse, NY",3645060
45140,"Tahlequah, OK Micro Area",,,"Tahlequah, OK",4045140
45180,"Talladega-Sylacauga, AL Micro Area",,,"Talladega-Sylacauga, AL",0145180
45220,"Tallahassee, FL Metro Area",,"Tallahassee, FL","Tallahassee, FL",1245220
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area","Tampa, FL metro area","Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",1245300
45340,"Taos, NM Micro Area",,,"Taos, NM",3545340
45380,"Taylorville, IL Micro Area",,,"Taylorville, IL",1745380
45460,"Terre Haute, IN Metro Area",,"Terre Haute, IN","Terre Haute, IN",1845460
45500,"Texarkana, TX-AR Metro Area",,,"Texarkana, TX-AR",0545500
45520,"The Dalles, OR Micro Area",,,"The Dalles, OR",4145520
45540,"The Villages, FL Metro Area","The Villages, FL metro area",,"The Villages, FL",1245540
45580,"Thomaston, GA Micro Area",,,"Thomaston, GA",1345580
45620,"Thomasville, GA Micro Area",,,"Thomasville, GA",1345620
45660,"Tiffin, OH Micro Area",,,"Tiffin, OH",3945660
45700,"Tifton, GA Micro Area",,,"Tifton, GA",1345700
45740,"Toccoa, GA Micro Area",,,"Toccoa, GA",1345740
45780,"Toledo, OH Metro Area",,"Toledo, OH","Toledo, OH",3945780
45820,"Topeka, KS Metro Area",,"Topeka, KS","Topeka, KS",2045820
45860,"Torrington, CT Micro Area",,"Torrington, CT","Torrington, CT",0945860
45900,"Traverse City, MI Micro Area",,,"Traverse City, MI",2645900
45940,"Trenton, NJ Metro Area","Trenton, NJ metro area","Trenton, NJ","Trenton, NJ",3445940
45980,"Troy, AL Micro Area",,,"Troy, AL",0145980
46020,"Truckee-Grass Valley, CA Micro Area",,,"Truckee-Grass Valley, CA",0646020
46060,"Tucson, AZ Metro Area","Tucson, AZ metro area","Tucson, AZ","Tucson, AZ",0446060
46100,"Tullahoma-Manchester, TN Micro Area",,,"Tullahoma-Manchester, TN",4746100
46140,"Tulsa, OK Metro Area","Tulsa, OK metro area","Tulsa, OK","Tulsa, OK",4046140
46180,"Tupelo, MS Micro Area",,,"Tupelo, MS",2846180
46220,"Tuscaloosa, AL Metro Area",,"Tuscaloosa, AL","Tuscaloosa, AL",0146220
46300,"Twin Falls, ID Metro Area",,,"Twin Falls, ID",1646300
46340,"Tyler, TX Metro Area",,"Tyler, TX","Tyler, TX",4846340
46380,"Ukiah, CA Micro Area",,,"Ukiah, CA",0646380
46460,"Union City, TN-KY Micro Area",,,"Union City, TN-KY",2146460
46500,"Urbana, OH Micro Area",,,"Urbana, OH",3946500
46520,"Urban Honolulu, HI Metro Area","Urban Honolulu, HI metro area","Urban Honolulu, HI","Urban Honolulu, HI",1546520
46540,"Utica-Rome, NY Metro Area",,"Utica-Rome, NY","Utica-Rome, NY",3646540
46620,"Uvalde, TX Micro Area",,,"Uvalde, TX",4846620
46660,"Valdosta, GA Metro Area",,,"Valdosta, GA",1346660
46700,"Vallejo-Fairfield, CA Metro Area","Vallejo, CA metro area","Vallejo-Fairfield, CA","Vallejo-Fairfield, CA",0646700
46740,"Valley, AL Micro Area",,,"Valley, AL",0146740
46780,"Van Wert, OH Micro Area",,,"Van Wert, OH",3946780
46820,"Vermillion, SD Micro Area",,,"Vermillion, SD",4646820
46860,"Vernal, UT Micro Area",,,"Vernal, UT",4946860
46900,"Vernon, TX Micro Area",,,"Vernon, TX",4846900
46980,"Vicksburg, MS Micro Area",,,"Vicksburg, MS",2846980
47020,"Victoria, TX Metro Area","Victoria, TX metro area",,"Victoria, TX",4847020
47080,"Vidalia, GA Micro Area",,,"Vidalia, GA",1347080
47180,"Vincennes, IN Micro Area",,,"Vincennes, IN",1847180
47220,"Vineland-Bridgeton, NJ Metro Area","Vineland, NJ metro area",,"Vineland-Bridgeton, NJ",3447220
47240,"Vineyard Haven, MA Micro Area",,,"Vineyard Haven, MA",2547240
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","Virginia Beach, VA metro area","Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",3747260
47300,"Visalia-Porterville, CA Metro Area",,"Visalia-Porterville, CA","Visalia-Porterville, CA",0647300
47340,"Wabash, IN Micro Area",,,"Wabash, IN",1847340
47380,"Waco, TX Metro Area",,"Waco, TX","Waco, TX",4847380
47420,"Wahpeton, ND-MN Micro Area",,,"Wahpeton, ND-MN",2747420
47460,"Walla Walla, WA Metro Area",,,"Walla Walla, WA",5347460
47540,"Wapakoneta, OH Micro Area",,,"Wapakoneta, OH",3947540
47580,"Warner Robins, GA Metro Area",,"Warner Robins, GA","Warner Robins, GA",1347580
47620,"Warren, PA Micro Area",,,"Warren, PA",4247620
47660,"Warrensburg, MO Micro Area",,,"Warrensburg, MO",2947660
47700,"Warsaw, IN Micro Area",,,"Warsaw, IN",1847700
47780,"Washington, IN Micro Area",,,"Washington, IN",1847780
47820,"Washington, NC Micro Area",,,"Washington, NC",3747820
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","Washington, DC metro area","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",1147900
47920,"Washington Court House, OH Micro Area",,,"Washington Court House, OH",3947920
47940,"Waterloo-Cedar Falls, IA Metro Area",,"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA",1947940
47980,"Watertown, SD Micro Area",,,"Watertown, SD",4647980
48020,"Watertown-Fort Atkinson, WI Micro Area",,,"Watertown-Fort Atkinson, WI",5548020
48060,"Watertown-Fort Drum, NY Metro Area",,,"Watertown-Fort Drum, NY",3648060
48100,"Wauchula, FL Micro Area",,,"Wauchula, FL",1248100
48140,"Wausau, WI Metro Area","Wausau, WI metro area",,"Wausau, WI",5548140
48180,"Waycross, GA Micro Area",,,"Waycross, GA",1348180
48220,"Weatherford, OK Micro Area",,,"Weatherford, OK",4048220
48260,"Weirton-Steubenville, WV-OH Metro Area",,,"Weirton-Steubenville, WV-OH",3948260
48300,"Wenatchee, WA Metro Area","Wenatchee, WA metro area",,"Wenatchee, WA",5348300
48460,"West Plains, MO Micro Area",,,"West Plains, MO",2948460
48500,"West Point, MS Micro Area",,,,
48540,"Wheeling, WV-OH Metro Area",,,"Wheeling, WV-OH",3948540
48580,"Whitewater-Elkhorn, WI Micro Area",,,"Whitewater-Elkhorn, WI",5548580
48620,"Wichita, KS Metro Area",,"Wichita, KS","Wichita, KS",2048620
48660,"Wichita Falls, TX Metro Area",,,"Wichita Falls, TX",4848660
48700,"Williamsport, PA Metro Area",,,"Williamsport, PA",4248700
48780,"Williston, ND Micro Area",,,"Williston, ND",3848780
48820,"Willmar, MN Micro Area",,,"Willmar, MN",2748820
48900,"Wilmington, NC Metro Area",,"Wilmington, NC","Wilmington, NC",3748900
48940,"Wilmington, OH Micro Area",,,"Wilmington, OH",3948940
48980,"Wilson, NC Micro Area",,,"Wilson, NC",3748980
49020,"Winchester, VA-WV Metro Area","Winchester, VA metro area",,"Winchester, VA-WV",5149020
49080,"Winnemucca, NV Micro Area",,,"Winnemucca, NV",3249080
49100,"Winona, MN Micro Area",,,"Winona, MN",2749100
49180,"Winston-Salem, NC Metro Area","Winston-Salem, NC metro area","Winston-Salem, NC","Winston-Salem, NC",3749180
49220,"Wisconsin Rapids-Marshfield, WI Micro Area",,,"Wisconsin Rapids-Marshfield, WI",5549220
49260,"Woodward, OK Micro Area",,,"Woodward, OK",4049260
49300,"Wooster, OH Micro Area",,,"Wooster, OH",3949300
49340,"Worcester, MA-CT Metro Area","Worcester, MA metro area","Worcester, MA-CT","Worcester, MA-CT",0949340
49380,"Worthington, MN Micro Area",,,"Worthington, MN",2749380
49420,"Yakima, WA Metro Area",,"Yakima, WA","Yakima, WA",5349420
49460,"Yankton, SD Micro Area",,,"Yankton, SD",4649460
49620,"York-Hanover, PA Metro Area","York, PA metro area","York-Hanover, PA","York-Hanover, PA",4249620
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area","Youngstown, OH metro area","Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA",3949660
49700,"Yuba City, CA Metro Area",,"Yuba City, CA","Yuba City, CA",0649700
49740,"Yuma, AZ Metro Area",,"Yuma, AZ","Yuma, AZ",0449740
49780,"Zanesville, OH Micro Area",,,"Zanesville, OH",3949780
49820,"Zapata, TX Micro Area",,,"Zapata, TX",4849820
99999,Combined with Los Angeles,"Anaheim, CA metro area",,,
99999,Combined with Philadelphia,"Camden, NJ metro area",,,
99999,Combined with Chicago,"Elgin, IL metro area",,,
99999,Combined with Miami,"Fort Lauderdale, FL metro area",,,
99999,Combined with Dallas,"Fort Worth, TX metro area",,,
99999,,"Frederick, MD metro area",,,
99999,Combined with San Francisco,"Oakland, CA metro area",,,
99999,Combined with Seattle,"Tacoma, WA metro area",,,
99999,Combined with Detroit,"Warren, MI metro area",,,
